fg_id,fg_name,role,fg_last,fg_first,bbm_id,bbm_last,bbm_first,yh_id,yh_last,yh_first,yh_team,yh_pos,howe_id,cbs_id,bam_id
6292,Jimmy Barthmaier,pit,Barthmaier,Jimmy,,,,,,,,,,,444864
6306,Juan Abreu,pit,Abreu,Juan,,,,,,,,,,,444874
6307,Matt Murton,bat,Murton,Matt,,,,,,,,,MURTON19811003A,,444875
6310,Alcides Escobar,bat,Escobar,Alcides,1450,Escobar,Alcides,8344,Escobar,Alcides,KC,SS,ESCOBAR19861216A,547241,444876
6315,Chris Ray,pit,Ray,Chris,,,,,,,,,,,444884
6316,David Phelps,pit,Phelps,David,6379,Phelps,David,9148,Phelps,David,NYY,SP/RP,PHELPS19861009A,1800944,475479
6317,Esmil Rogers,pit,Rogers,Esmil,5694,Rogers,Esmil,8595,Rogers,Esmil,TOR,RP/SP,ROGERS19850814A,1392908,469134
6319,Ryan Garko,bat,Garko,Ryan,,,,,,,,,,,434939
6324,Al Alburquerque,pit,Alburquerque,Al,5912,Alburquerque,Al,8843,Alburquerque,Al,DET,RP,ALBURQUER19860610A,1725468,456379
6329,John Danks,pit,Danks,John,1134,Danks,John,7808,Danks,John,CWS,SP,DANKS19850415A,538912,433579
6335,Omar Quintanilla,bat,Quintanilla,Omar,4004,Quintanilla,Omar,7615,Quintanilla,Omar,,SS/2B,QUINTANIL19811024A,490393,435560
6336,Ryan Feierabend,pit,Feierabend,Ryan,1506,Feierabend,Ryan,7887,Feierabend,Ryan,,RP/SP,,1130580,456387
6341,Luis Jimenez,bat,Jimenez,Luis,7239,Jimenez,Luis,9367,Jimenez,Luis,,3B,JIMENEZ19880118A,1811744,499864
6343,Ryan Adams,bat,Adams,Ryan,,,,,,,,,,,502031
6345,Chris Archer,pit,Archer,Chris,5518,Archer,Chris,8849,Archer,Chris,TB,SP,ARCHER19880926A,1758899,502042
6352,Ryan Sweeney,bat,Sweeney,Ryan,4852,Sweeney,Ryan,7858,Sweeney,Ryan,,OF,SWEENEY19850220A,489807,435220
6364,Danny Valencia,bat,Valencia,Danny,5958,Valencia,Danny,8665,Valencia,Danny,BAL,1B/3B/OF,VALENCIA19840919A,1660696,502143
6368,Adam Jones,bat,Jones,Adam,2478,Jones,Adam,7812,Jones,Adam,BAL,OF,JONES19850801A,479388,430945
6371,Henry Rodriguez,pit,Rodriguez,Henry,5692,Rodriguez,Henry,8603,Rodriguez,Henry,WAS,RP,,1392907,469159
6382,Stuart Pomeranz,pit,Pomeranz,Stuart,,,,9175,,,,RP,,,456421
6387,Michael Bourn,bat,Bourn,Michael,505,Bourn,Michael,7828,Bourn,Michael,CLE,OF,BOURN19821227A,548112,456422
6389,Luis Perez,pit,Perez,Luis,5667,Perez,Luis,8902,Perez,Luis,TOR,RP,PEREZ19850120A,1654343,469802
6397,Jake Odorizzi,pit,Odorizzi,Jake,7664,Odorizzi,Jake,9310,Odorizzi,Jake,TB,SP,ODORIZZI19900327A,1757975,543606
6398,Trevor May,pit,May,Trevor,8360,May,Trevor,9783,May,Trevor,,SP/RP,MAY19890923A,1733562,543507
6399,Jose Cisnero,pit,Cisnero,Jose,8455,Cisnero,Jose,9375,Cisnero,Jose,,RP,CISNERO19890411A,2044205,542585
6400,Kirk Nieuwenhuis,bat,Nieuwenhuis,Kirk,6281,Nieuwenhuis,Kirk,9152,Nieuwenhuis,Kirk,NYM,OF,NIEUWENHU19870807A,1667064,543590
6402,Brent Morel,bat,Morel,Brent,6170,Morel,Brent,8811,Morel,Brent,CWS,3B,MOREL19870421A,1708037,543569
6403,Argenis Diaz,bat,Diaz,Argenis,,,,,,,,,DIAZ19870212A,,469810
6415,Stolmy Pimentel,pit,Pimentel,Stolmy,6423,Pimentel,Stolmy,9508,Pimentel,Stolmy,,RP,PIMENTEL19900201A,1756631,516935
6417,Rafael Rodriguez,bat,Rodriguez,Rafael,,,,,,,,,,,444126
6419,Warner Madrigal,pit,Madrigal,Warner,,,,,,,,,,,444127
6421,Roger Bernadina,bat,Bernadina,Roger,386,Bernadina,Roger,8288,Bernadina,Roger,WAS,OF,BERNADINA19840612A,547419,465668
6422,Rich Thompson,pit,Thompson,Rich,,,,8118,,,,RP,,,460366
6428,Jeremy Accardo,pit,Accardo,Jeremy,,,,7534,,,,RP,,,435618
6432,Tim Stauffer,pit,Stauffer,Tim,4761,Stauffer,Tim,7500,Stauffer,Tim,,RP,STAUFFER19820602A,484529,431162
6435,Vance Worley,pit,Worley,Vance,6138,Worley,Vance,8766,Worley,Vance,MIN,SP/RP,WORLEY19870925A,1758068,474699
6444,Andy LaRoche,bat,LaRoche,Andy,2734,LaRoche,Andy,7928,LaRoche,Andy,,3B/SS,,580525,451188
6448,Jim Adduci,bat,Adduci,Jim,5889,Adduci,James,9512,Adduci,Jim,,OF,,549732,451192
6453,Andy Dirks,bat,Dirks,Andy,6307,Dirks,Andy,8927,Dirks,Andy,DET,OF,DIRKS19860124A,1669882,543108
6457,Mike O'Connor,pit,O'Connor,Mike,,,,,,,,,,,456585
6461,Jamie Hoffmann,bat,Hoffmann,Jamie,,,,,,,,,,,469845
6475,Kevin Jepsen,pit,Jepsen,Kevin,2414,Jepsen,Kevin,8380,Jepsen,Kevin,LAA,RP,JEPSEN19840726A,1209013,448178
6483,Steve Cishek,pit,Cishek,Steve,6189,Cishek,Steve,8836,Cishek,Steve,MIA,RP,CISHEK19860618A,1770784,518553
6485,Brian Wilson,pit,Wilson,Brian,5350,Wilson,Brian,7743,Wilson,Brian,SF,RP,,585913,451216
6491,Donnie Joseph,pit,Joseph,Donnie,6451,Joseph,Donnie,9460,Joseph,Donnie,,RP,,1797886,548348
6499,Blaine Hardy,pit,Hardy,Blaine,,,,9732,Hardy,Blaine,,RP,HARDY19870314A,1741050,543278
6527,Josh Zeid,pit,Zeid,Josh,7032,Zeid,Josh,9475,Zeid,Josh,,RP,ZEID19870324A,2039176,473646
6533,Luis Durango,bat,Durango,Luis,,,,,,,,,,,470516
6547,Jordy Mercer,bat,Mercer,Jordy,6054,Mercer,Jordy,9198,Mercer,Jordy,PIT,SS,MERCER19860827A,1667441,474568
6550,Michael Stutes,pit,Stutes,Michael,6367,Stutes,Michael,8912,Stutes,Michael,PHI,RP,,1741616,452741
6562,Alex Cobb,pit,Cobb,Alex,6413,Cobb,Alex,8918,Cobb,Alex,TB,SP,COBB19871007A,1784973,502171
6564,Bobby Wilson,bat,Wilson,Bobby,,,,8232,Wilson,Bobby,,C,WILSON19830408A,538897,435064
6570,Tom Koehler,pit,Koehler,Tom,6581,Koehler,Tom,9294,Koehler,Tom,MIA,SP,KOEHLER19860629A,1795805,543408
6577,Anthony Vasquez,pit,Vasquez,Anthony,,,,,,,,,VASQUEZ19860919A,,457786
